text,Class,clean_text
රස්නෙ යකො 🥵,Hatespeech,රස්නෙ යකො
"Ideas for more protest locations: කැලනියෙ නාගසලන්ගෙ පොට් එක,විමල්,ගොම්මන්පිල, වාසු වගෙ නැව ගිලෙනකොට පනින් උන්ගෙ ගෙ… https://t.co/Jiyb2XdSoE",Neutral,"Ideas for more protest locations: කැලනියෙ නාගසලන්ගෙ පොට් එක,විමල්,ගොම්මන්පිල, වාසු වගෙ නැව ගිලෙනකොට පනින් උන්ගෙ ගෙ…"
සිංහල ජාතිවාදය වපුරලා මුස්ලිම් ගෙවල් ගිනි තියන්න උසිගන්වපු අමන හැත්තකට ඡන්දෙ දීල දැන් ඒවම පාරාවලල්ලක් වෙලා එනකොට අ… https://t.co/KDy7gsEyy8,Neutral,සිංහල ජාතිවාදය වපුරලා මුස්ලිම් ගෙවල් ගිනි තියන්න උසිගන්වපු අමන හැත්තකට ඡන්දෙ දීල දැන් ඒවම පාරාවලල්ලක් වෙලා එනකොට අ…
"මෙච්ංහර දවසක් හැංගිලා හිටපු බො.බ.සෙ , වචනයක් නොකියපු මුස්ලිම් දෙමල ජාතී වාදී නායකයෝ ඉදිරි දිනවල ඔබව කුලප්පු කරනු ඇත… https://t.co/8C1XwdzYSZ",Neutral,"මෙච්ංහර දවසක් හැංගිලා හිටපු බො.බ.සෙ , වචනයක් නොකියපු මුස්ලිම් දෙමල ජාතී වාදී නායකයෝ ඉදිරි දිනවල ඔබව කුලප්පු කරනු ඇත…"
මුස්ලිම් කෙල්ලගේ ලස්සන / ආදරේ &lt;&lt;&lt; 🍆💦 #චූටිපුතා,Neutral,මුස්ලිම් කෙල්ලගේ ලස්සන / ආදරේ &lt;&lt;&lt;
අද උදේ ගියා තැපැල් කන්තෝරුවට. ඒ අයියා කියනවා දැන් දැන් මේ රට මෙහෙම වෙලා තියෙන හේතුව දේශපාලකයෝ අපිව brain wash කරල… https://t.co/DNaDfjakhu,Neutral,අද උදේ ගියා තැපැල් කන්තෝරුවට. ඒ අයියා කියනවා දැන් දැන් මේ රට මෙහෙම වෙලා තියෙන හේතුව දේශපාලකයෝ අපිව brain wash කරල…
"සිංහල කෙල්ලෙක්ව ටොක් කරන් නැතුව මුස්ලිම් කෙල්ලෙක්ව ටෝක කරනවා.😏
ආදරේ තියෙනවා බං උන් ගාව ❤️",Neutral,සිංහල කෙල්ලෙක්ව ටොක් කරන් නැතුව මුස්ලිම් කෙල්ලෙක්ව ටෝක කරනවා. ආදරේ තියෙනවා බං උන් ගාව
"මේ ඔක්කොම අස්සෙ එක කාලකණ්නි සතුටක් තියෙනවා. මුස්ලිම් දෙමළ උන්ට රිද්දන්න තනි ජාතිවාදයෙන් ගෙනාපු තනි සිංහල ආණ්ඩුව,… https://t.co/pnYewbYkPE",Neutral,"මේ ඔක්කොම අස්සෙ එක කාලකණ්නි සතුටක් තියෙනවා. මුස්ලිම් දෙමළ උන්ට රිද්දන්න තනි ජාතිවාදයෙන් ගෙනාපු තනි සිංහල ආණ්ඩුව,…"
තනි සිංහල ජන්ද වලින් ඇවිල්ලා සිංහලුන්ටයි මුස්ලිම් උන්ටයි දෙමලුන්ටයි මදි නොකියන්නම අරිනවා කියලා එකෙක් කිව්වා...😂🐒… https://t.co/Xnf47ULcJ9,Neutral,තනි සිංහල ජන්ද වලින් ඇවිල්ලා සිංහලුන්ටයි මුස්ලිම් උන්ටයි දෙමලුන්ටයි මදි නොකියන්නම අරිනවා කියලා එකෙක් කිව්වා...…
"මැද පෙරදිග මුස්ලිම් මිනිස්සු දියූණු වුනේ, උන්ගේ අතට සල්ලි ටිකක් ලැබුන ගමන් ජාතිවාදය නවත්තලා පිටරටින් මිනිස්සු ගෙනල්… https://t.co/KEplzmbeLq",Neutral,"මැද පෙරදිග මුස්ලිම් මිනිස්සු දියූණු වුනේ, උන්ගේ අතට සල්ලි ටිකක් ලැබුන ගමන් ජාතිවාදය නවත්තලා පිටරටින් මිනිස්සු ගෙනල්…"
"නිල්, කොල, රතු, සිංහල, දෙමළ, මුස්ලිම් අපි ඔක්කොම එකට පාරට බහිමුද? එකතු වෙන්න කාලය ඇවිත් #GoHomeRajapaksas #GoHomeGota2022 #එකතුවෙමු",Neutral,"නිල්, කොල, රතු, සිංහල, දෙමළ, මුස්ලිම් අපි ඔක්කොම එකට පාරට බහිමුද? එකතු වෙන්න කාලය ඇවිත්"
මුස්ලිම් සමාජයට අපහාස කිරීම දේශපාලන ගේම් එකක්.චමුදිත ඔයත් ඒ ගේම්එකේ ඉත්ත... https://t.co/SsVtX03MNw via @YouTube https://t.co/xqahLz7NMa,Neutral,මුස්ලිම් සමාජයට අපහාස කිරීම දේශපාලන ගේම් එකක්.චමුදිත ඔයත් ඒ ගේම්එකේ ඉත්ත... via
"සිංහල, දෙමළ, මුස්ලිම් සකල වින්දිතයන් වෙනුවෙන් කාදිනල්ට ඉල්ලීමක් (VIDEO) https://t.co/W1XfusIDdK via #SriLanka @SP_Ekneligoda",Neutral,"සිංහල, දෙමළ, මුස්ලිම් සකල වින්දිතයන් වෙනුවෙන් කාදිනල්ට ඉල්ලීමක් (VIDEO) via"
"මුස්ලිම් සහෝදරයන්ට
සුබ ම සුබ පණිවිඩයක්
Read more&gt;&gt;&gt; https://t.co/e9XsBSxyba
#shaafmnews
@ShaaFMLanka https://t.co/XH8GyUlxYh",Neutral,මුස්ලිම් සහෝදරයන්ට සුබ ම සුබ පණිවිඩයක් Read more&gt;&gt;&gt;
"මුස්ලිම් විද්වතුන් 34 දෙනෙකුගෙන් යුත් කමිටුවක් 

https://t.co/uCDu9ZzLyM",Neutral,මුස්ලිම් විද්වතුන් 34 දෙනෙකුගෙන් යුත් කමිටුවක්
"කතක් තමන් ස්ත්‍රියක් වීම හේතුවෙන් වෙනස්කම් සිදු වුණැයි කිවහොත්, දෙමළ/මුස්ලිම් පුද්ගලයෙක් තම ජනවර්ගය ‌හේතුවෙන් අපහසු… https://t.co/pBAlg9J8kS",Neutral,"කතක් තමන් ස්ත්රියක් වීම හේතුවෙන් වෙනස්කම් සිදු වුණැයි කිවහොත්, දෙමළ/මුස්ලිම් පුද්ගලයෙක් තම ජනවර්ගය ‌හේතුවෙන් අපහසු…"
"මීළඟ අගමැති ගැන විශේෂ ප්‍රකාශයක් !
#TruthAtAllCosts #HiruNews #Hiru #HiruSinhalaNews #SriLanka
Read more&gt;&gt;&gt;… https://t.co/R1Dd87EeIH",Neutral,මීළඟ අගමැති ගැන විශේෂ ප්රකාශයක් ! Read more&gt;&gt;&gt;…
උපවාස සමය සඳහා ප්‍රමාණවත් රටඉඳි නොමැති වීමෙන් මුස්ලිම් ජනතාව ඉස්ලාම් චාරිත්‍ර සිදු කිරීමට නොහැකිව අපහසුතාවයට පත්ව… https://t.co/Ufw3hLWPof,Neutral,උපවාස සමය සඳහා ප්රමාණවත් රටඉඳි නොමැති වීමෙන් මුස්ලිම් ජනතාව ඉස්ලාම් චාරිත්ර සිදු කිරීමට නොහැකිව අපහසුතාවයට පත්ව…
"ඉස්ලාම් බැතිමතුන්ගේ චාරිත්‍රවලට වැට කඩුලු ?
#TruthAtAllCosts #HiruNews #Hiru #HiruSinhalaNews #SriLanka
Read more&gt;&gt;… https://t.co/CxhZ8GvvwB",Neutral,ඉස්ලාම් බැතිමතුන්ගේ චාරිත්රවලට වැට කඩුලු ? Read more&gt;&gt;…
"අර ""තව්හිද් ජමාද්"" කියල මුස්ලිම් සංවිධානයක් තිබ්බා නේද.. ගෝඨාභය ජනාධිපතිඋනා විතරයි වැලේ වැල් නැතුව ගියානේ ඒවාට..",Neutral,"අර ""තව්හිද් ජමාද්"" කියල මුස්ලිම් සංවිධානයක් තිබ්බා නේද.. ගෝඨාභය ජනාධිපතිඋනා විතරයි වැලේ වැල් නැතුව ගියානේ ඒවාට.."
"රාජපක්ෂගේ අගුපිලේ ඉන්න රතනලා විමල් ගම්මන්පිල,අමිත,ඩෑන්, ගලබොඩයා,ඇතුලු බලු හැත්ත කෝ?තොපි හදපු වද කොත්තු වද ජංගි කෝ?… https://t.co/tyyeNoj6GZ",Hatespeech,"රාජපක්ෂගේ අගුපිලේ ඉන්න රතනලා විමල් ගම්මන්පිල,අමිත,ඩෑන්, ගලබොඩයා,ඇතුලු බලු හැත්ත කෝ?තොපි හදපු වද කොත්තු වද ජංගි කෝ?…"
රජය විදුලි බල මංඩලය හා පාරිභෝගික සේවා අධිකාරිය එකව විදුලි බලය විසංධි කිරීමේදී හිතාමතාම යම් යම් ප්‍රදේශ වලට ඉතා වැඩි… https://t.co/3YPs8iuDwu,Neutral,රජය විදුලි බල මංඩලය හා පාරිභෝගික සේවා අධිකාරිය එකව විදුලි බලය විසංධි කිරීමේදී හිතාමතාම යම් යම් ප්රදේශ වලට ඉතා වැඩි…
එදත් අදත් ලංකාවට කෙලෙව්වේ පින්බත් කන ගනයෝ.භාෂා ප්‍රශ්නයක් ගෙනල්ල බේද ඇති කරල දෙමල ත්‍රස්තවාදය ඇති කරා.පස්සෙ මුස්ලි… https://t.co/auaEKsI5KC,Neutral,එදත් අදත් ලංකාවට කෙලෙව්වේ පින්බත් කන ගනයෝ.භාෂා ප්රශ්නයක් ගෙනල්ල බේද ඇති කරල දෙමල ත්රස්තවාදය ඇති කරා.පස්සෙ මුස්ලි…
ඔබ දැන් අත්දකිමින් ඉන්නේ 'ආගම සහ ජාතිය' ආයෝජනය කළ ව්‍යාපාරයක් පාඩු ලබන ආකාරයයි! #GoHomeGota #SriLanka,Neutral,ඔබ දැන් අත්දකිමින් ඉන්නේ 'ආගම සහ ජාතිය' ආයෝජනය කළ ව්යාපාරයක් පාඩු ලබන ආකාරයයි!
"ඇෆ්ගනිස්ථානයේ මිනිස්සු ආගම ලොකු කරගෙන නායකයො තෝරලා ආං කන්න නැතුව බඩගින්නෙ මැරෙනවා.. 
අල් ජසීර නිවුස් බෑලුහාම අපිටත්… https://t.co/yO3NZHtIp8",Neutral,ඇෆ්ගනිස්ථානයේ මිනිස්සු ආගම ලොකු කරගෙන නායකයො තෝරලා ආං කන්න නැතුව බඩගින්නෙ මැරෙනවා.. අල් ජසීර නිවුස් බෑලුහාම අපිටත්…
"මතක් කරලා ඊළග පාර පාර්ලිමෙන්තු/ජනාධිපති ජන්ද වලදි ජන්ද දානකොට අඩුවෙන්ම පන්සල්, පල්ලි , කෝවිල් යන උන් ටිකක් පත්කරන්න… https://t.co/z956kBD5EF",Neutral,"මතක් කරලා ඊළග පාර පාර්ලිමෙන්තු/ජනාධිපති ජන්ද වලදි ජන්ද දානකොට අඩුවෙන්ම පන්සල්, පල්ලි , කෝවිල් යන උන් ටිකක් පත්කරන්න…"
"මා ප්‍රිය ලක්වැසියනි,
රට ජාතිය ආගම බේරගත්තාද? 
කොහොමද?
දැන් සැපද?🤌🏽",Neutral,"මා ප්රිය ලක්වැසියනි, රට ජාතිය ආගම බේරගත්තාද? කොහොමද? දැන් සැපද?"
"""ආගම ජාතිය රකින අන්තිම අවස්ථාව"" කියන එක බල්ලට දාල ඊලඟට අල්ලගෙන තියෙන්නෙ ""ධර්මය අපිට මග වේවා"" කියල.. https://t.co/qPOTlFwVZk",Neutral,"""ආගම ජාතිය රකින අන්තිම අවස්ථාව"" කියන එක බල්ලට දාල ඊලඟට අල්ලගෙන තියෙන්නෙ ""ධර්මය අපිට මග වේවා"" කියල.."
"දැන් ඇයි අර කලින් වගේ රට, ජාතිය, ආගම සහ සංස්කෘතිය ගැන බොක්කෙන් කියන ලොකු ලෙකු කතා ඇහෙන් නැත්තේ. දැන් ඒවා ඔක්කොම රැකිලා ඉවරද ? 

💁🏻💁🏻💁🏻",Neutral,"දැන් ඇයි අර කලින් වගේ රට, ජාතිය, ආගම සහ සංස්කෘතිය ගැන බොක්කෙන් කියන ලොකු ලෙකු කතා ඇහෙන් නැත්තේ. දැන් ඒවා ඔක්කොම රැකිලා ඉවරද ?"
ආගම පසෙකලා සංචාරකයෙකු ලෙස👣 https://t.co/accKc5SPxX,Neutral,ආගම පසෙකලා සංචාරකයෙකු ලෙස
ඔය simulation theory එක ගෙනාවෙ කතොලික විද්‍යාවෙදීන් ටිකක්. අභාවයට යන කතෝලික ආගම බේරගන්න,Neutral,ඔය simulation theory එක ගෙනාවෙ කතොලික විද්යාවෙදීන් ටිකක්. අභාවයට යන කතෝලික ආගම බේරගන්න
"සමහරවිට සිංහලෙන් කියන නිසා මම වැරදි වෙන්ඩත් පුළුවන්;

ඉන්ටවීව් ඩිබාකලය දිහා බලලා තේරුම් ගන්ඩෝන කාරණය තමා කොයි එකෙත්… https://t.co/YKcbB6GARx",Neutral,සමහරවිට සිංහලෙන් කියන නිසා මම වැරදි වෙන්ඩත් පුළුවන්; ඉන්ටවීව් ඩිබාකලය දිහා බලලා තේරුම් ගන්ඩෝන කාරණය තමා කොයි එකෙත්…
"දෙවියන්ගේ ආගම ආදරයයි, නමුත් ඔබ ඔබේ ආගමේ ගුහාවෙන් එළියට එන තුරු ඔබට එය තේරෙන්නේ නැත, ඔබ ඔබේ ආගමට වඩා දෙවියන් වහන්සේට… https://t.co/wsPDEgBkTq",Neutral,"දෙවියන්ගේ ආගම ආදරයයි, නමුත් ඔබ ඔබේ ආගමේ ගුහාවෙන් එළියට එන තුරු ඔබට එය තේරෙන්නේ නැත, ඔබ ඔබේ ආගමට වඩා දෙවියන් වහන්සේට…"
"ඇෆ්ගනිස්තානේ ගෑණු ලමයීගේ ඉස්කෝල වැහලා, ගෑණු ලමයී අඩනවා. ඒක දැකලා මටත් ඇඩුන. ඇෆ්ගනිස්තානේ ටීවී එකේ ප්‍රවෘත්ති කියන එ… https://t.co/fniTxDlXAk",Neutral,"ඇෆ්ගනිස්තානේ ගෑණු ලමයීගේ ඉස්කෝල වැහලා, ගෑණු ලමයී අඩනවා. ඒක දැකලා මටත් ඇඩුන. ඇෆ්ගනිස්තානේ ටීවී එකේ ප්රවෘත්ති කියන එ…"
"""වැටුණු කෙනෙකු හට නැගී සිටින්නට
අත දෙන්නට පැකිලෙන්න එපා
ඔහුගේ රට, ජාතිය, ආගම
කුල, ගොත ගැන හොයන්නෙපා""",Neutral,"""වැටුණු කෙනෙකු හට නැගී සිටින්නට අත දෙන්නට පැකිලෙන්න එපා ඔහුගේ රට, ජාතිය, ආගම කුල, ගොත ගැන හොයන්නෙපා"""
ජාතිය විසින් ජනපති අමතනු ලබන ඒ ඓතිහාසික අවස්තාව 😌,Neutral,ජාතිය විසින් ජනපති අමතනු ලබන ඒ ඓතිහාසික අවස්තාව
හෙට ජාතිය අමතල බලය පාර්ලිමේන්තුවට දෙන්න වෙයි වගේ..,Neutral,හෙට ජාතිය අමතල බලය පාර්ලිමේන්තුවට දෙන්න වෙයි වගේ..
"දැන් ලයිට් කපන එක ගානක් නෑ නේද?
අන්න ඒ හුරුව තමයි එදා ඉඳලම ජාතිය වඳ කලේ😕😕",Neutral,දැන් ලයිට් කපන එක ගානක් නෑ නේද? අන්න ඒ හුරුව තමයි එදා ඉඳලම ජාතිය වඳ කලේ
අනේ ප්ලීස්... ආයේ නම් රට ජාතිය බේරගත්තුවා ගැන හිතලා කළගුණ සලකන්න නම් යන්නෙපා. Plsss 😂🙏🙏🙏,Neutral,අනේ ප්ලීස්... ආයේ නම් රට ජාතිය බේරගත්තුවා ගැන හිතලා කළගුණ සලකන්න නම් යන්නෙපා. Plsss
පලයන්න පොන්නයා .උබෙ අම්මට හැමිනියන් .අවාජතකයා.උබ අයාලේ ඉපදුනු කෙනෙක්.අම්මගෙන්න් අහපන් තාත්තා කව්ද කියලා,Hatespeech,පලයන්න පොන්නයා .උබෙ අම්මට හැමිනියන් .අවාජතකයා.උබ අයාලේ ඉපදුනු කෙනෙක්.අම්මගෙන්න් අහපන් තාත්තා කව්ද කියලා
"ඔය කරන්න යන පුටුමාරු අත්හදාබැලීම පසුගිය අවුරුදු 73ට පාලොස් වතාවක් වත් කරන්න ඇති.. කෝ ගොඩගියාද?..
හාමුදුරුවෝ කී වතාව… https://t.co/KiJlsL7YT5",Neutral,ඔය කරන්න යන පුටුමාරු අත්හදාබැලීම පසුගිය අවුරුදු 73ට පාලොස් වතාවක් වත් කරන්න ඇති.. කෝ ගොඩගියාද?.. හාමුදුරුවෝ කී වතාව…
මෙහෙ ඉන්න තැරිදාර බෛයෙකුගෙං ධැළ්ශැපධ කියලා අහලා ජාතිය අමතගත්තා සැරටම 😂😂🤚,Neutral,මෙහෙ ඉන්න තැරිදාර බෛයෙකුගෙං ධැළ්ශැපධ කියලා අහලා ජාතිය අමතගත්තා සැරටම
"ලී ක්වාන් යූ සමග එක්ක මහතීර් මොහොමඩ් සැදූ ඒ සුරපුර. 🥰🙏

එවන් අසිරිමත් ජාතිය ජයෙන් උදාරයි.. 🤍 https://t.co/YbRtz4gAwx",Neutral,ලී ක්වාන් යූ සමග එක්ක මහතීර් මොහොමඩ් සැදූ ඒ සුරපුර. එවන් අසිරිමත් ජාතිය ජයෙන් උදාරයි..
"ජනාධිපති උතුමාණෙනි , කරුනාකර හැමදාම ජාතිය අමතන්න. ඔබගේ කතා අසන්න අපි හරි ආසයි. ☹️ https://t.co/JArNaC5N0o",Neutral,"ජනාධිපති උතුමාණෙනි , කරුනාකර හැමදාම ජාතිය අමතන්න. ඔබගේ කතා අසන්න අපි හරි ආසයි."
"බයියෝ කියන ජාතිය නම් තෙල් 1000ට ගියත් ගහනවා ආණ්ඩුව වර්ණනා කර කර , අනික් මිනිස්සු තමයි පව ගෙවන්නේ",Neutral,"බයියෝ කියන ජාතිය නම් තෙල් 1000ට ගියත් ගහනවා ආණ්ඩුව වර්ණනා කර කර , අනික් මිනිස්සු තමයි පව ගෙවන්නේ"
මේ රටේ සුලු ජාතින්වලින් එකක් ප්‍රධාන ජාතිය උනා නම් මේ රට මේ වෙද්දි දියුනු වෙලා.,Neutral,මේ රටේ සුලු ජාතින්වලින් එකක් ප්රධාන ජාතිය උනා නම් මේ රට මේ වෙද්දි දියුනු වෙලා.
අලුත් අලුත් දෑ නොතනන ජාතිය ලොව නොනගී,Neutral,අලුත් අලුත් දෑ නොතනන ජාතිය ලොව නොනගී
'ලොක්කා ජාතිය අමතනවා අපි පාරේ''''එනවා එනවා කියනවා. එන්නෙ නැහැ බඩගින්නේ ඉන්නේ. දරුවෝ ගෙවල්වල'' - YouTube https://t.co/lDANFLhkXZ,Neutral,'ලොක්කා ජාතිය අමතනවා අපි පාරේ''''එනවා එනවා කියනවා. එන්නෙ නැහැ බඩගින්නේ ඉන්නේ. දරුවෝ ගෙවල්වල'' - YouTube
"වේදිකා ගානේ, හංදි ගානේ, ජාතිය අමතනකොට පසුගිය රජය පසුගිය රජය පසුගිය රජය කියපු ජනාධිපති 🙋‍♂️
රනිල් මුහුණට හම්බවුනාම… https://t.co/6EqBdvnbFM",Neutral,"වේදිකා ගානේ, හංදි ගානේ, ජාතිය අමතනකොට පසුගිය රජය පසුගිය රජය පසුගිය රජය කියපු ජනාධිපති රනිල් මුහුණට හම්බවුනාම…"
ගෝඨා ගෙනල්ල ඔරකල් දානවයි අලි ගේනවයි කොටි ගේනවයි කියපු පොරවල් දැන් අහනව ගෝඨා යවල කාවද ගේන්නෙ කියල. 🤷 ලැජ්ජා වියන්...… https://t.co/iVDhfsGxg8,Hatespeech,ගෝඨා ගෙනල්ල ඔරකල් දානවයි අලි ගේනවයි කොටි ගේනවයි කියපු පොරවල් දැන් අහනව ගෝඨා යවල කාවද ගේන්නෙ කියල. ලැජ්ජා වියන්...…
"උතුරෙන් කොටි....
දකුණෙන් ගොලු මුහුද...
ඒ ඉස්සර....

දැන්...
උතුරෙන් ගෝඨා...
දකුණෙන් මහින්ද...
බටහිරින් බැසිල්...
නැ… https://t.co/IVplkIdrIF",Neutral,උතුරෙන් කොටි.... දකුණෙන් ගොලු මුහුද... ඒ ඉස්සර.... දැන්... උතුරෙන් ගෝඨා... දකුණෙන් මහින්ද... බටහිරින් බැසිල්... නැ…
"අඳින්නට ඇඳුමක් පමණක් ගමන් මල්ලක දමාගෙන පැමිණි සරල මිනිසා කොටි 800ක ගෙදරක් යද්දී ගෙනිච්චෙ හිතයි,අතයි දෙකම හොදට පිරි… https://t.co/VGAWtA63Bt",Neutral,"අඳින්නට ඇඳුමක් පමණක් ගමන් මල්ලක දමාගෙන පැමිණි සරල මිනිසා කොටි 800ක ගෙදරක් යද්දී ගෙනිච්චෙ හිතයි,අතයි දෙකම හොදට පිරි…"
"ජාතික ආරක්ෂාව කියලා මුංට දුන්නාට
රටවලට කැලි කඩලා දෙන ගමන්
ආරක්ෂාව නැත්තටම නැති වෙනවා
රත්මලානේ ගුවන් තොටුපළ මාල දිව… https://t.co/pd5ygr2hKv",Hatespeech,ජාතික ආරක්ෂාව කියලා මුංට දුන්නාට රටවලට කැලි කඩලා දෙන ගමන් ආරක්ෂාව නැත්තටම නැති වෙනවා රත්මලානේ ගුවන් තොටුපළ මාල දිව…
රුසියාව හත්වැනි ජෙනරාල්වරයාත් අහිමි කර ගනී - පුටින් කොටි වලිගය අල්ලා ගත්තාද ? - https://t.co/A7cK3xNb3I https://t.co/fHvqXhZ9Pa,Neutral,රුසියාව හත්වැනි ජෙනරාල්වරයාත් අහිමි කර ගනී - පුටින් කොටි වලිගය අල්ලා ගත්තාද ? -
"2008 ගෝලීය මූල්‍ය අර්බුදය හමුවේත් රටේ ආර්ථික වර්ධනය පවත්වාගනිමින් බටහිරයින්ගේ බාධක සහ පරයින් විසින් අදහන ""කුප්‍රසි… https://t.co/0VXOCTFEVd",Neutral,"2008 ගෝලීය මූල්ය අර්බුදය හමුවේත් රටේ ආර්ථික වර්ධනය පවත්වාගනිමින් බටහිරයින්ගේ බාධක සහ පරයින් විසින් අදහන ""කුප්රසි…"
වහාම විශ්වාසභංගයක් ගේන්න. රට ලේ විලක් වෙනේක නවත්වන්න. @sajithpremadasa @HarshadeSilvaMP @anuradisanayake @MASumanthiran,Neutral,වහාම විශ්වාසභංගයක් ගේන්න. රට ලේ විලක් වෙනේක නවත්වන්න.
"පල්ලි වලට බෝම්බ ගහල, අහිංසක මිනිස්සු පවුල් පිටින් මරල දාල, ඒ ලේ වල උණුසුම යන්ඩත් කලින් මීඩියා ඉස්සරහට ඇවිත් ""මම ජනා… https://t.co/IyJYjaoi4F",Neutral,"පල්ලි වලට බෝම්බ ගහල, අහිංසක මිනිස්සු පවුල් පිටින් මරල දාල, ඒ ලේ වල උණුසුම යන්ඩත් කලින් මීඩියා ඉස්සරහට ඇවිත් ""මම ජනා…"
"අපේ ජීවිත ලේ විලේ කිඹුල් කඳුළැලි හල හලා
සව්දිය පුරන්නේ උඹලා...
#GoHomeGota #GoHomeGota2022 #RajapaksaCurse… https://t.co/Sxg4t4Dpyc",Hatespeech,අපේ ජීවිත ලේ විලේ කිඹුල් කඳුළැලි හල හලා සව්දිය පුරන්නේ උඹලා...
ලයිට් යනවා. ටික වෙලාවකින් සිග්නල් ලෙෆ්ට් වෙනවා. වැඩ නතර වෙනවා. ආයෙ ලයිට් එනවා. සිග්නල් හරියන්න වෙලාවක් යනවා. සිග්න… https://t.co/gIZ5KoAGkh,Neutral,ලයිට් යනවා. ටික වෙලාවකින් සිග්නල් ලෙෆ්ට් වෙනවා. වැඩ නතර වෙනවා. ආයෙ ලයිට් එනවා. සිග්නල් හරියන්න වෙලාවක් යනවා. සිග්න…
බස් එකක් ගිනි තියන්න ලේ​සි ටයර් එකට ගිනි තිව්ව​ම කියල දන්නෙ ඇවන්ඩ් ගාඩ් එකේ උන්ම තමයි. https://t.co/GKl9t5HMsD,Neutral,බස් එකක් ගිනි තියන්න ලේ​සි ටයර් එකට ගිනි තිව්ව​ම කියල දන්නෙ ඇවන්ඩ් ගාඩ් එකේ උන්ම තමයි.
"මිනිසුන් බිල්ලට දී කාඩ් බෝඩ් වීරයන් ලෙස රඟන ටිවිටර් වැසියනි,ඔබ ලේ පිපාසයෙන් පෙළෙනවා නම් එය ඔබේ මානසික රෝගයක්.අහිංසක… https://t.co/EgtcONUioZ",Neutral,"මිනිසුන් බිල්ලට දී කාඩ් බෝඩ් වීරයන් ලෙස රඟන ටිවිටර් වැසියනි,ඔබ ලේ පිපාසයෙන් පෙළෙනවා නම් එය ඔබේ මානසික රෝගයක්.අහිංසක…"
