text,Class
මුස්ලිම් සමාජයට අපහාස කිරීම දේශපාලන ගේම් එකක්.චමුදිත ඔයත් ඒ ගේම්එකේ ඉත්ත... https://t.co/SsVtX03MNw via @YouTube https://t.co/xqahLz7NMa,Neutral
"සිංහල, දෙමළ, මුස්ලිම් සකල වින්දිතයන් වෙනුවෙන් කාදිනල්ට ඉල්ලීමක් (VIDEO) https://t.co/W1XfusIDdK via #SriLanka @SP_Ekneligoda",Neutral
"මුස්ලිම් සහෝදරයන්ට
සුබ ම සුබ පණිවිඩයක්
Read more&gt;&gt;&gt; https://t.co/e9XsBSxyba
#shaafmnews
@ShaaFMLanka https://t.co/XH8GyUlxYh",Neutral
"මුස්ලිම් විද්වතුන් 34 දෙනෙකුගෙන් යුත් කමිටුවක් 

https://t.co/uCDu9ZzLyM",Neutral
"කතක් තමන් ස්ත්‍රියක් වීම හේතුවෙන් වෙනස්කම් සිදු වුණැයි කිවහොත්, දෙමළ/මුස්ලිම් පුද්ගලයෙක් තම ජනවර්ගය ‌හේතුවෙන් අපහසු… https://t.co/pBAlg9J8kS",Neutral
"මීළඟ අගමැති ගැන විශේෂ ප්‍රකාශයක් !
#TruthAtAllCosts #HiruNews #Hiru #HiruSinhalaNews #SriLanka
Read more&gt;&gt;&gt;… https://t.co/R1Dd87EeIH",Neutral
උපවාස සමය සඳහා ප්‍රමාණවත් රටඉඳි නොමැති වීමෙන් මුස්ලිම් ජනතාව ඉස්ලාම් චාරිත්‍ර සිදු කිරීමට නොහැකිව අපහසුතාවයට පත්ව… https://t.co/Ufw3hLWPof,Neutral
"ඉස්ලාම් බැතිමතුන්ගේ චාරිත්‍රවලට වැට කඩුලු ?
#TruthAtAllCosts #HiruNews #Hiru #HiruSinhalaNews #SriLanka
Read more&gt;&gt;… https://t.co/CxhZ8GvvwB",Neutral
"අර ""තව්හිද් ජමාද්"" කියල මුස්ලිම් සංවිධානයක් තිබ්බා නේද.. ගෝඨාභය ජනාධිපතිඋනා විතරයි වැලේ වැල් නැතුව ගියානේ ඒවාට..",Neutral
"රාජපක්ෂගේ අගුපිලේ ඉන්න රතනලා විමල් ගම්මන්පිල,අමිත,ඩෑන්, ගලබොඩයා,ඇතුලු බලු හැත්ත කෝ?තොපි හදපු වද කොත්තු වද ජංගි කෝ?… https://t.co/tyyeNoj6GZ",Hatespeech
රජය විදුලි බල මංඩලය හා පාරිභෝගික සේවා අධිකාරිය එකව විදුලි බලය විසංධි කිරීමේදී හිතාමතාම යම් යම් ප්‍රදේශ වලට ඉතා වැඩි… https://t.co/3YPs8iuDwu,Neutral
එදත් අදත් ලංකාවට කෙලෙව්වේ පින්බත් කන ගනයෝ.භාෂා ප්‍රශ්නයක් ගෙනල්ල බේද ඇති කරල දෙමල ත්‍රස්තවාදය ඇති කරා.පස්සෙ මුස්ලි… https://t.co/auaEKsI5KC,Neutral
ඔබ දැන් අත්දකිමින් ඉන්නේ 'ආගම සහ ජාතිය' ආයෝජනය කළ ව්‍යාපාරයක් පාඩු ලබන ආකාරයයි! #GoHomeGota #SriLanka,Neutral
"ඇෆ්ගනිස්ථානයේ මිනිස්සු ආගම ලොකු කරගෙන නායකයො තෝරලා ආං කන්න නැතුව බඩගින්නෙ මැරෙනවා.. 
අල් ජසීර නිවුස් බෑලුහාම අපිටත්… https://t.co/yO3NZHtIp8",Neutral
"මතක් කරලා ඊළග පාර පාර්ලිමෙන්තු/ජනාධිපති ජන්ද වලදි ජන්ද දානකොට අඩුවෙන්ම පන්සල්, පල්ලි , කෝවිල් යන උන් ටිකක් පත්කරන්න… https://t.co/z956kBD5EF",Neutral
"මා ප්‍රිය ලක්වැසියනි,
රට ජාතිය ආගම බේරගත්තාද? 
කොහොමද?
දැන් සැපද?🤌🏽",Neutral
"""ආගම ජාතිය රකින අන්තිම අවස්ථාව"" කියන එක බල්ලට දාල ඊලඟට අල්ලගෙන තියෙන්නෙ ""ධර්මය අපිට මග වේවා"" කියල.. https://t.co/qPOTlFwVZk",Neutral
"දැන් ඇයි අර කලින් වගේ රට, ජාතිය, ආගම සහ සංස්කෘතිය ගැන බොක්කෙන් කියන ලොකු ලෙකු කතා ඇහෙන් නැත්තේ. දැන් ඒවා ඔක්කොම රැකිලා ඉවරද ? 

💁🏻💁🏻💁🏻",Neutral
ආගම පසෙකලා සංචාරකයෙකු ලෙස👣 https://t.co/accKc5SPxX,Neutral
ඔය simulation theory එක ගෙනාවෙ කතොලික විද්‍යාවෙදීන් ටිකක්. අභාවයට යන කතෝලික ආගම බේරගන්න,Neutral
"සමහරවිට සිංහලෙන් කියන නිසා මම වැරදි වෙන්ඩත් පුළුවන්;

ඉන්ටවීව් ඩිබාකලය දිහා බලලා තේරුම් ගන්ඩෝන කාරණය තමා කොයි එකෙත්… https://t.co/YKcbB6GARx",Neutral
"දෙවියන්ගේ ආගම ආදරයයි, නමුත් ඔබ ඔබේ ආගමේ ගුහාවෙන් එළියට එන තුරු ඔබට එය තේරෙන්නේ නැත, ඔබ ඔබේ ආගමට වඩා දෙවියන් වහන්සේට… https://t.co/wsPDEgBkTq",Neutral
"ඇෆ්ගනිස්තානේ ගෑණු ලමයීගේ ඉස්කෝල වැහලා, ගෑණු ලමයී අඩනවා. ඒක දැකලා මටත් ඇඩුන. ඇෆ්ගනිස්තානේ ටීවී එකේ ප්‍රවෘත්ති කියන එ… https://t.co/fniTxDlXAk",Neutral
"""වැටුණු කෙනෙකු හට නැගී සිටින්නට
අත දෙන්නට පැකිලෙන්න එපා
ඔහුගේ රට, ජාතිය, ආගම
කුල, ගොත ගැන හොයන්නෙපා""",Neutral
ජාතිය විසින් ජනපති අමතනු ලබන ඒ ඓතිහාසික අවස්තාව 😌,Neutral
හෙට ජාතිය අමතල බලය පාර්ලිමේන්තුවට දෙන්න වෙයි වගේ..,Neutral
"දැන් ලයිට් කපන එක ගානක් නෑ නේද?
අන්න ඒ හුරුව තමයි එදා ඉඳලම ජාතිය වඳ කලේ😕😕",Neutral
අනේ ප්ලීස්... ආයේ නම් රට ජාතිය බේරගත්තුවා ගැන හිතලා කළගුණ සලකන්න නම් යන්නෙපා. Plsss 😂🙏🙏🙏,Neutral
පලයන්න පොන්නයා .උබෙ අම්මට හැමිනියන් .අවාජතකයා.උබ අයාලේ ඉපදුනු කෙනෙක්.අම්මගෙන්න් අහපන් තාත්තා කව්ද කියලා,Hatespeech
"ඔය කරන්න යන පුටුමාරු අත්හදාබැලීම පසුගිය අවුරුදු 73ට පාලොස් වතාවක් වත් කරන්න ඇති.. කෝ ගොඩගියාද?..
හාමුදුරුවෝ කී වතාව… https://t.co/KiJlsL7YT5",Neutral
මෙහෙ ඉන්න තැරිදාර බෛයෙකුගෙං ධැළ්ශැපධ කියලා අහලා ජාතිය අමතගත්තා සැරටම 😂😂🤚,Neutral
"ලී ක්වාන් යූ සමග එක්ක මහතීර් මොහොමඩ් සැදූ ඒ සුරපුර. 🥰🙏

එවන් අසිරිමත් ජාතිය ජයෙන් උදාරයි.. 🤍 https://t.co/YbRtz4gAwx",Neutral
"ජනාධිපති උතුමාණෙනි , කරුනාකර හැමදාම ජාතිය අමතන්න. ඔබගේ කතා අසන්න අපි හරි ආසයි. ☹️ https://t.co/JArNaC5N0o",Neutral
"බයියෝ කියන ජාතිය නම් තෙල් 1000ට ගියත් ගහනවා ආණ්ඩුව වර්ණනා කර කර , අනික් මිනිස්සු තමයි පව ගෙවන්නේ",Neutral
මේ රටේ සුලු ජාතින්වලින් එකක් ප්‍රධාන ජාතිය උනා නම් මේ රට මේ වෙද්දි දියුනු වෙලා.,Neutral
අලුත් අලුත් දෑ නොතනන ජාතිය ලොව නොනගී,Neutral
'ලොක්කා ජාතිය අමතනවා අපි පාරේ''''එනවා එනවා කියනවා. එන්නෙ නැහැ බඩගින්නේ ඉන්නේ. දරුවෝ ගෙවල්වල'' - YouTube https://t.co/lDANFLhkXZ,Neutral
"වේදිකා ගානේ, හංදි ගානේ, ජාතිය අමතනකොට පසුගිය රජය පසුගිය රජය පසුගිය රජය කියපු ජනාධිපති 🙋‍♂️
රනිල් මුහුණට හම්බවුනාම… https://t.co/6EqBdvnbFM",Neutral
ගෝඨා ගෙනල්ල ඔරකල් දානවයි අලි ගේනවයි කොටි ගේනවයි කියපු පොරවල් දැන් අහනව ගෝඨා යවල කාවද ගේන්නෙ කියල. 🤷 ලැජ්ජා වියන්...… https://t.co/iVDhfsGxg8,Hatespeech
"උතුරෙන් කොටි....
දකුණෙන් ගොලු මුහුද...
ඒ ඉස්සර....

දැන්...
උතුරෙන් ගෝඨා...
දකුණෙන් මහින්ද...
බටහිරින් බැසිල්...
නැ… https://t.co/IVplkIdrIF",Neutral
"අඳින්නට ඇඳුමක් පමණක් ගමන් මල්ලක දමාගෙන පැමිණි සරල මිනිසා කොටි 800ක ගෙදරක් යද්දී ගෙනිච්චෙ හිතයි,අතයි දෙකම හොදට පිරි… https://t.co/VGAWtA63Bt",Neutral
"ජාතික ආරක්ෂාව කියලා මුංට දුන්නාට
රටවලට කැලි කඩලා දෙන ගමන්
ආරක්ෂාව නැත්තටම නැති වෙනවා
රත්මලානේ ගුවන් තොටුපළ මාල දිව… https://t.co/pd5ygr2hKv",Hatespeech
රුසියාව හත්වැනි ජෙනරාල්වරයාත් අහිමි කර ගනී - පුටින් කොටි වලිගය අල්ලා ගත්තාද ? - https://t.co/A7cK3xNb3I https://t.co/fHvqXhZ9Pa,Neutral
"2008 ගෝලීය මූල්‍ය අර්බුදය හමුවේත් රටේ ආර්ථික වර්ධනය පවත්වාගනිමින් බටහිරයින්ගේ බාධක සහ පරයින් විසින් අදහන ""කුප්‍රසි… https://t.co/0VXOCTFEVd",Neutral
වහාම විශ්වාසභංගයක් ගේන්න. රට ලේ විලක් වෙනේක නවත්වන්න. @sajithpremadasa @HarshadeSilvaMP @anuradisanayake @MASumanthiran,Neutral
"පල්ලි වලට බෝම්බ ගහල, අහිංසක මිනිස්සු පවුල් පිටින් මරල දාල, ඒ ලේ වල උණුසුම යන්ඩත් කලින් මීඩියා ඉස්සරහට ඇවිත් ""මම ජනා… https://t.co/IyJYjaoi4F",Neutral
"අපේ ජීවිත ලේ විලේ කිඹුල් කඳුළැලි හල හලා
සව්දිය පුරන්නේ උඹලා...
#GoHomeGota #GoHomeGota2022 #RajapaksaCurse… https://t.co/Sxg4t4Dpyc",Hatespeech
ලයිට් යනවා. ටික වෙලාවකින් සිග්නල් ලෙෆ්ට් වෙනවා. වැඩ නතර වෙනවා. ආයෙ ලයිට් එනවා. සිග්නල් හරියන්න වෙලාවක් යනවා. සිග්න… https://t.co/gIZ5KoAGkh,Neutral
බස් එකක් ගිනි තියන්න ලේ​සි ටයර් එකට ගිනි තිව්ව​ම කියල දන්නෙ ඇවන්ඩ් ගාඩ් එකේ උන්ම තමයි. https://t.co/GKl9t5HMsD,Neutral
"මිනිසුන් බිල්ලට දී කාඩ් බෝඩ් වීරයන් ලෙස රඟන ටිවිටර් වැසියනි,ඔබ ලේ පිපාසයෙන් පෙළෙනවා නම් එය ඔබේ මානසික රෝගයක්.අහිංසක… https://t.co/EgtcONUioZ",Neutral
"මිරිහාන පොලිස් ස්ථානයේ මාධ්‍යවේදීන් 4 දෙනෙකු ඇතුළුව අවම වශයෙන් පුද්ගලයින් 34 දෙනෙකු (පිරිමි 33ක්, කාන්තාවක් 1ක්) රඳ… https://t.co/XewTTCXylm",Neutral
"අපි තමයි මුලින්ම පාරට බහින්නෙ කියපු අය තමයි දැන් ඔය බැහැල තියෙන්නෙ. එහෙන් මෙහෙන් බයි ලේ දුවන එවුන්, තාමත් SM වල වි… https://t.co/7vso1w3Ok4",Hatespeech
Agenda එක ගැන තේරුම් ගන්නේ නැතුව එකපාරට ලේ කකියනවා නම්. උබලත තව ඕනෙ බං.,Neutral
"ජාතිවාදය අවුස්සලා බලයට ආපු එකාගේ මාධ්‍ය නිවේදනය. ගෝඨා තමා ලංකාවේ ඉන්න අන්තවාදියා. ඥාණසාර ඉන්නේ ගෝඨා ලග, සිංහලේ අර… https://t.co/lkoOay1yr3",Hatespeech
"අපෙත් ලේ කකියනවා, කළකිරීමෙන් ඉන්නේ එහෙම කියලා තියෙන රට විනාස කරලා අපේ එවුන් හිරේ දාගෙන උන්ට ගුටි බැට කවලා හරියන්නේ… https://t.co/jQmd1awk0h",Hatespeech
"ලේ වලින් බලයට ආපු එකෙකුට තවත් ලේ හොල්ලනවා කියන්නේ අමූතු දෙයක් නෙමෙයි
ඔළුවෙන් වැඩ කරමු 
#EconomicCrisisLK #GoHomeGota #GoHomeRajapaksas",Neutral
"කාටද උඹ තියන්නේ?
අන්න එනවා අහිංසකයෝ
අන්න එනවා ලක් වාසියෝ
උඹේ අතේ ඔය අවියෙන් කාටද උඹ තියන්නේ?
අන්න එනවා අහිංසකයෝ… https://t.co/XYG775YFGo",Neutral
අහින්සක මිනිස්සු දරුවන් සියගනනක් දේවස්ථානය ඇතුලෙම ඝාතනය කරලා බලයට ආපු රාජපක්ෂ ඝාතකයො උඹලට දෙවියන්ගෙන් පව් සමාව ලැබු… https://t.co/vVItxrBXfA,Neutral
"මිරිහානට ආව එක මනුස්සයෙක්ගෙ හරි ඇගේ ලේ බින්දුවකට හරි අත තියනව කියන්නෙ ඔයා ලොකූ වැරැද්දක් කරගත්තෙ නන්දසේන
🙂… https://t.co/FBVgG1bOLe",Hatespeech
Stf එකෙන් ආවා මේකත් ලේ වැගිරීමක් වෙයි වගේ,Neutral
"කිසිඳු කරදරයකින් ලේ හැලීමකින් තොරව අප්‍රේල් 3 අරගලය පැවැත්වීමට හැකි වේවායි පතමි.! 🙏

ඔබලාගේ අධ්‍යාත්මික විශ්වාසයන් ඔබ සමඟ වේවා! 💟",Neutral
"⁣ඔබෙන් ලැබෙන සම්මානය 
දොහොත් මුදුන් දී අරගෙන
ඔබට පිරිත් පැන් මතුරඤ්ඤං
සියක් වසක් රට කරන්න
අනේ අපේ ගැලවුම්කරු
ඔබයි… https://t.co/4JCavsV0M3",Neutral
"කොඩියට, බණ පොතට, සංස්කෘතියට කකියන ලේ, රටට හා රටේ මිනිස්සුන්ට කෙලවෙන කොට සිවුරු-කාරයන්ට නැති හැටි! කමක් නෑ. දානේ men… https://t.co/5dLei6BWzu",Neutral
"❤️🥺

මොවුන් ලේ දන් දීලා රැකපු පොලව, බඩතඩි තිරිසන්නු වෙන්දේසි කරද්දි... ඔයාලාට පුලුවන් ද නිහඬව බලන් ඉන්න!

මෙයාලාගේ… https://t.co/HRdciYmpQI",Neutral
"රාජපක්ෂ විරෝධී, කොළ-ලේ-ලිබ්බෝ ලිබ්බියෝගේ 2015 රෙජීම් චේන්ජ් ගේන්න කල දේශද්‍රෝහී බොරු ප්‍රචාර, බොරු ප්‍රබන්ද ලිවිම,… https://t.co/OfuL2JNl8f",Neutral
"අර ලේ ත් නෑ...
මේ ලේ ත් නෑ....
අන්තිමට...
කරුව ලේ.... 😶😶",Neutral
"බලය වෙනුවෙන් පාස්කු ඉරිදාව ලේ විලක් කරලා, ඒ මළ මිනී මතින් බලය ලබා ගත් තිරිසන් පාලකයන්ට විරුද්ධව නැගී සිටීමේදී වඩාත්… https://t.co/4GIyk1FaBQ",Neutral
ජාති බේද පැත්තකින් තියමු. ජාතීන් අතර කොටවලා අහිංසක මිනිස්සුන්ගේ ලේ මතින් බලයට පත්වූ දූෂිත ආණ්ඩුව පලවාහරින්න එකතු වෙමු.,Neutral
"#Srilanka දැන් ලේ වැගිරෙන මෝඩයෝ මම කියන්නේ ලංකාවේ දේශපාලකයෝ මොලේ පාවිච්චි කරන්න පටන් අරන්. නිදහසින් පසු, ඔවුන් කිසි… https://t.co/rcryfgpvcT",Neutral
"උදේ පාන්දර ලේ රත් වෙනවා..මේවා දකිද්දි 🥺

මොන පැත්තකින්වත් ගොඩ යන්න දෙන්නේ නෑ මුං😡😡😡 https://t.co/7nHOROQf9O",Hatespeech
උගුර ලේ රහ වෙනකං කිව්ව රටට කරුමයක් වෙච්ච මේ පවුලට කර ගහන්න එපා කියල.. උඹල ඇහුවෙ නෑ..අතේ ඇගිලි ගෙවෙනකං මේගොල්ලො කරපු… https://t.co/qRnI4H4p8q,Hatespeech
කෝ මේ රට බේරගන්න යටි ගිරියෙන් සද්දේ දාපු සිංහ ලේ සෙට් එක,Hatespeech
"හදේ ගැඹුරුම ස්වරය
ස්පර්ශ කරන,
පන දෙන්න ඉන්න උන් අතරේ
නොමිය ප්‍රේමය,
මිනිසෙකු තනනා 
කලාකාරිය,
අම්මේ නුඹයී,
ලේ කිරි ක… https://t.co/wC2iwiXVOo",Neutral
පූජ්‍ය ගලගොඩඅත්තේ ඥානසාර හිමියන්ට පොදු සමාව දී නිදහස් කිරීමට හිටපු ජනාධිපති මෛත්‍රීපාල සිරිසේන මහතා ගත් තීරණයට එරෙ… https://t.co/UyJ7gRqvuP,Neutral
@TVswarnavahini මෙම වැඩ සටනේ තොරතුරු අසත්‍යයයි.මෙය නිවැරදිව මතුපරම්පරාවට දැනගැනීම පිනිස විකාශය කිරීමට උදව් කරන්න.ම… https://t.co/QO9zrwjI5X,Neutral
@SirasaTVlk මෙය අසත්‍ය පුවතකි.අරුණ.එම නිසා මා නීලම්මහර පුරාණ විහාරස්ථානයේ එවකට දේශීය මානසික වෙදදුරු ස්වාමින් වහන්සේ… https://t.co/V4bdW3LnbP,Neutral
@ITNSriLanka මා මෙම නීලම්මහර පුරාණ විහාරස්ථානයේ දේශීය මානසික වෙදදුරු ස්වාමින් වහන්සේ නමකගේ ලේ ඥාති වන අතර පල් හොරෙ… https://t.co/dwt5McHTQ3,Neutral
"ඉස්සරහ ගෙදර පරණ ගෙයක් කඩලා සමතලා කරනවා කට්ටියක් 
සින්දු දාන් කෞදෝ මොනවද කඩනවා

එක පාරට දඩ බඩෝස් ගාලා සද්දයක් ආවා
ඒ… https://t.co/tiLBYKSwSu",Neutral
ඒකිව මියුට් කරලා තියෙන්නෙ හොඳ වෙලාවට🙂 නැත්තන් කියන ගොං කතා වලට ලේ කෝප වෙනවා,Hatespeech
"ජීවිතය ජීවයක් දෙන්න♥️

රුධිරය නොමැතිව ජීවිතය යදින අපේම දරුවන්ගේ, මව්පියවරුන්ගේ, සහෝදර සහෝදරියන්ගේ, මියැදෙන හදකට පණ… https://t.co/mg5r0myOk4",Neutral
"`
කන්ද ලේ කන්ද",Neutral
අම්මා ආපු ගමන් බැන්නා ආයේ උඹ දේශපාලන පෝස්ට් දාලා මට අහුවෙන්න එපා කියලා බුකිය කලඹලා වගේ චීත්තයක්.🥴,Neutral
‘උඹ ගැන පස්සේ බලාගන්නම්’! මාධ්‍යවේදී තරිඳුට තර්ජනයක්! මාධ්‍යවේදීගේ රාජකාරියට බාධා https://t.co/vE8w2rU17x,Hatespeech
"පොන්න ජනපති

@GotabayaR 

මාව අතුරුදන් කරපං ඇවිත්. 🖕
උඹ තමා මගේ රටේ හෙනහුරා..",Neutral
"ජෝ...
උඹ හොඳින්ද...
අහින්සක රටවල් විනාස කරලා...
උඹ හොඳින්ද...
වර්ණ භේදය , ජාති බේධය නෑ කියලා , ඔක්කොම එකයි කියපු උඹ… https://t.co/HiA9jEHmtd",Hatespeech
"ගේම් එක මල්දෙණියගෙ උනත්, ප්ලෑන් එක ජෙහාන්ගෙ උනත්,
ප්‍රියන්ත......
උඹ පරිස්සමින්!!!",Neutral
අඩෝ Iraj! ගෝඨාභය බලයට එද්දි තෝ කිව්ව නේද මේ ආණ්ඩුව ජනතාව අපහසුතාවයකට පත්කරොත් උඹත් පාරට බහිනවා කියලා… කෝ උඹ දැන්?… https://t.co/sylchyIDzX,Hatespeech
"උඹ ඉන්නම තිබුණා
අද වගේ දවසක,
කළු කෝපි කෝප්පයක් 
බොන ගමන්, 
කයියක් ගහන්න..
ජීවිතේ එහෙමයි
උඹට මට අපි අපිට
යනෙන මේ ගම… https://t.co/DxdGn2Pdy7",Neutral
"පුංචි කතාකරලා ඒ අස්සෙ එයාගෙ ගෙදර තීන්ත ගාන්න 25,000 ක් ඉල්ලනවා. ඕ විකාර වලට වියදම් කරන්න සල්ලි නෑ මම මේ ඉන්දියාව ය… https://t.co/vmTOBT0oQR",Neutral
"දෙතැනක තනිවි උන්නු
උඹ මට හොරෙන් 
මන් උඹට හොරෙන් 
ඇස්වලින් වැටෙන කදුලු
අපි හැංගුවා මතකද,

උඹ ලස්සනට හිනාවෙන
අපි අපේ… https://t.co/apsgyVnm2z",Neutral
"..................................
කියන්න හිතා හිටි
නුඹ ලඟදි අමතක වුන
කතා මහ ගොඩක් ලොකු… https://t.co/ucgBlfvHM9",Neutral
"මිනිස්සු පට්ට තරහින් ඉන්නෙ. ට්වීට්ස් කමෙන්ට්ස් දැක්කාම තේරෙනවා 

හැබැයි ඉතිං දේසපාලනේ නිසා උඹ මැරිලා පල කියන්න තරම්… https://t.co/3UCjRh4iy3",Neutral
Twitter එකේ කිසිම ඇයි හොඳයියක් නැති එකෙක් පහුගිය දාක FB එකේ friend request එකක් එවලා. ඒක accept කරලා පැයක් යන්න කලි… https://t.co/pInQD6rJGR,Neutral
"ජනාධිපතියො,

උඹ කුඩුවක ඉන්න ගිරවෙක්. ලස්සන ලස්සන කතා කියනවා.

ඒත්

බඩගින්නේ ඉන්න මිනිස්සු ව්‍යාඝ්‍රයො කියලා හිතාගන්… https://t.co/RD1YurldKg",Neutral
"JVP/NPPට රට ගොඩ ගන්න ආර්තික ප්‍රතිත්ති නෑ කියන අයට,
උඹට කඩයක් තියෙනව. උඹ ඒ කඩේ එකෙක්ව දම්මල කරවන්නෙ.ඌ ඒකෙන් සල්ලි… https://t.co/2CodLH4MIt",Hatespeech
"""උඹ වැඩකාරයෙක්"" | Lanvee
https://t.co/SThZJBNvpY
#hirutv #Lanvee",Neutral
"මේ වෙන දේ උඹ තේරුම් ගනින්
වහල් නොවී ඔලු බේර ගනින්

උන් ටික යයි හෙට යුරෝපෙට
අපිව මරණ්නේ මුන් විනෝදෙට
#අන්ධයෝ",Neutral
"උඹට 69 කියනකොට තාම ආතල් ද?

ගෝඨාට ඡන්දේ දුන්න එකෙක් ඌට විරුද්ධව මොකක්හරි කිව්වොත් අඩෝ උඹ ගියපාර ගෝඨාට නේ දුන්නේ අහන… https://t.co/roAYkbuCGK",Neutral
""" දැන්වත් ""
තේරුම් ගනිම් හුත්තො ..
උඹට ඇහුම්කන් දෙන්න .. උඹ වෙනුවෙන්..
කව්රුත් නෑ..… https://t.co/SRkH86v8mk",Hatespeech
"උඹ මෝඩයි කියලා හිතන්න එපා...

වතුර උණු කරලා තේ එක හැදුවට පස්සේ ඒක නිමෙනකං ඉඳලා බොන උනුත් ඉන්නවා..😂

#copied",Neutral
@Us3rchang3d කෝ ඕයි උඹ?,Neutral
"""රත්වුන යකඩ ලෝකුරු ගෑනුත් තැලුවා..
මත්වුණු බඹරු ඉටිමල් පොකුරෙත් වැහුවා..
ඇත්තට ලෝකෙ ගැන උඹ දන්නෙ ද මොනවා..
පත්තිනි… https://t.co/hG6PXrBK9B",Neutral
"#මට_ජීවත්_වෙන්න_ඕනී 🥺
- ඇයි උඹ ඔය ජීවත් වෙනවා නෙවෙයි ද? #මෙහෙමද_ජීවත්_වෙනවා_කියන්නේ ? - මැරි මැරී නේද ජීවත් වෙන්න වෙලා තියෙන්නේ ?",Neutral
"වෙයන් උඹ එකම අත්තක වෙනස් ඉත්තෙක්..! 🧩

Mobigraphy by @pavithraperamun https://t.co/wquR546gtx",Hatespeech
